,err_kdf,err_rf,kappa_kdf,kappa_rf,ece_kdf,ece_rf,rep,samples
52,0.41515151515151516,0.3787878787878788,0.5387205387205387,0.5791245791245792,0.18625742411326354,0.15263636363636368,22,30
53,0.4196969696969697,0.3318181818181818,0.5336700336700337,0.6313131313131313,0.3692468098078322,0.19085757575757573,23,30
54,0.4015151515151515,0.3606060606060606,0.5538720538720538,0.5993265993265993,0.32940046441334897,0.15607272727272728,24,30
55,0.396969696969697,0.3590909090909091,0.558922558922559,0.601010101010101,0.40094732125683785,0.17623939393939397,25,30
56,0.4181818181818182,0.37424242424242427,0.5353535353535354,0.5841750841750841,0.2917639248789588,0.14549696969696968,26,30
57,0.3909090909090909,0.396969696969697,0.5656565656565656,0.5589225589225589,0.1982115760113825,0.12273636363636364,27,30
58,0.44393939393939397,0.35757575757575755,0.5067340067340067,0.6026936026936027,0.21454149386016808,0.1524969696969697,28,30
59,0.4606060606060606,0.48484848484848486,0.4882154882154883,0.4612794612794614,0.15499005662669124,0.09488787878787876,29,30
60,0.29848484848484846,0.3666666666666667,0.6683501683501684,0.5925925925925926,0.11823907423350256,0.10813636363636364,0,50
61,0.3090909090909091,0.34545454545454546,0.6565656565656566,0.6161616161616162,0.13654129233591947,0.13969696969696968,1,50
62,0.3363636363636363,0.32878787878787874,0.6262626262626263,0.6346801346801347,0.3602361669797513,0.10837575757575754,2,50
63,0.33939393939393936,0.36363636363636365,0.6228956228956228,0.595959595959596,0.15550374725474542,0.11048181818181824,3,50
64,0.31212121212121213,0.3848484848484849,0.6531986531986533,0.5723905723905724,0.19576933665183802,0.08968181818181817,4,50
65,0.3590909090909091,0.36818181818181817,0.601010101010101,0.5909090909090908,0.13427247576945447,0.1131,5,50
66,0.2863636363636364,0.32121212121212117,0.6818181818181819,0.6430976430976432,0.15339099148313318,0.14016969696969694,6,50
67,0.2803030303030303,0.29393939393939394,0.6885521885521885,0.6734006734006734,0.3847498438546811,0.19428484848484853,7,50
68,0.26363636363636367,0.29848484848484846,0.7070707070707071,0.6683501683501684,0.4155615627860296,0.16406666666666667,8,50
69,0.34090909090909094,0.3651515151515151,0.6212121212121213,0.5942760942760943,0.26366103182219525,0.11056363636363634,9,50
70,0.2909090909090909,0.34696969696969693,0.6767676767676767,0.6144781144781146,0.3094128248520401,0.1056,10,50
71,0.30606060606060603,0.3242424242424242,0.6599326599326598,0.6397306397306397,0.2722874025083446,0.11005151515151518,11,50
72,0.26515151515151514,0.2833333333333333,0.7053872053872055,0.6851851851851852,0.1357655717031917,0.1730090909090909,12,50
73,0.2909090909090909,0.29848484848484846,0.6767676767676767,0.6683501683501684,0.16671953057180855,0.14025454545454547,13,50
74,0.25,0.28181818181818186,0.7222222222222222,0.6868686868686869,0.1344678394226499,0.1677818181818182,14,50
75,0.2772727272727272,0.3151515151515152,0.6919191919191918,0.6498316498316499,0.11894120780062267,0.1453787878787879,15,50
76,0.37575757575757573,0.3712121212121212,0.5824915824915825,0.5875420875420875,0.2297178932347778,0.11098181818181821,16,50
77,0.33484848484848484,0.303030303030303,0.627946127946128,0.6632996632996634,0.3011110158589302,0.16215151515151519,17,50
78,0.3242424242424242,0.31060606060606055,0.6397306397306398,0.654882154882155,0.17523032863364774,0.14800303030303028,18,50
79,0.35,0.3560606060606061,0.6111111111111112,0.6043771043771042,0.18299190004824456,0.12379090909090905,19,50
80,0.31060606060606055,0.32727272727272727,0.6548821548821548,0.6363636363636364,0.1996809244922649,0.1586212121212121,20,50
81,0.29393939393939394,0.36212121212121207,0.6734006734006734,0.5976430976430975,0.15215879458371545,0.09279696969696974,21,50
82,0.36363636363636365,0.3712121212121212,0.5959595959595958,0.5875420875420875,0.2920424821173558,0.12187272727272729,22,50
83,0.35151515151515156,0.3257575757575758,0.6094276094276094,0.638047138047138,0.12071884932567359,0.09824848484848483,23,50
